full_name,position,career_length,position_group
Mike Smith,MLB,2,LB
Cornelius Wortham,LB,1,LB
Lionel Gates,RB,3,RB
Chris Roberson,CB,2,DB
Jeremy Parquet,T,4,OL
Paul Ernster,P,4,SP
Harry Williams,WR,2,WR
Darrell Shropshire,NT,2,DL
Scott Mruczkowski,G,7,OL
Noah Herron,RB,3,RB
William Whitticker,G,2,OL
Billy Bajema,TE,9,TE
Patrick Estes,T,3,OL
Keyonta Marshall,DT,1,DL
Ryan Fitzpatrick,QB,16,QB
Madison Hedgecock,FB,6,RB
J.R. Russell,WR,1,WR
Doug Nienhuis,G,1,OL
Billy Parker,DB,1,DB
Chase Blackburn,MLB,9,LB
Manuel Wright,DT,2,DL
Brandon Childress,WR,2,WR
Gregg Guenther,TE,1,TE
Terry Butler,RB,1,RB
B.J. Ward,FS,2,DB
Dimitri Patterson,DB,8,DB
Michael Jennings,WR,1,WR
Eric Powell,DE,2,DL
Earl Cochran,DE,3,DL
Bennie Joppru,TE,2,TE
John Standeford,WR,3,WR
Jason Fife,QB,1,QB
Dave Pearson,C,1,OL
Ruvell Martin,WR,7,WR
Kendrick Mosley,WR,1,WR
Jason Rader,TE,3,TE
Darrell Campbell,DT,1,DL
Anthony Oakley,C,2,OL
Jamaine Winborne,DB,2,DB
Claude Harriott,DE,1,DL
Brandon Miree,RB,1,RB
Jorge Cordova,OLB,2,LB
Kevin Youngblood,WR,1,WR
Andrew Economos,LS,8,SP
John Kuhn,FB,11,RB
Ronald Stanley,LB,1,LB
Erik Pears,T,9,OL
Diamond Ferri,RB,1,RB
Marquis Weeks,RB,1,RB
Herana-Daze Jones,SS,4,DB
Ben Wilkerson,C,3,OL
Andy Thorn,TE,1,TE
Shane Boyd,QB,2,QB
Robert Douglas,RB,2,RB
Kay-Jay Harris,RB,1,RB
Shirdonya Mitchell,CB,1,DB
Tony Curtis,TE,4,TE
Jamaica Rector,WR,2,WR
Keith Joseph,FB,1,RB
Lang Campbell,QB,1,QB
Greg Hanoian,RB,1,RB
Tyson Smith,LB,2,LB
Mike Kracalik,T,3,OL
Michael Bragg,DB,1,DB
Antwain Spann,CB,3,DB
Nick Steitz,G,1,OL
Clint Stickdorn,T,1,OL
Jonas Seawright,NT,1,DL
Abram Elam,SS,7,DB
Greg Camarillo,WR,7,WR
Keylon Kincade,RB,1,RB
Jack Hunt,S,1,DB
Dan Cody,OLB,1,LB
Eric Shelton,RB,1,RB
Dustin Fox,CB,3,DB
Richie Incognito,G,14,OL
Kevin Everett,TE,2,TE
Jordan Beck,MLB,2,LB
Wesley Britt,T,3,OL
Tyjuan Hagler,OLB,5,LB
Kevin Vickerson,DT,8,DL
Rod Wilson,LB,5,LB
Rashad Jeanty,OLB,4,LB
Kevin Huntley,DE,2,DL
Casey Printers,QB,1,QB
Jon Ryan,P,13,SP
Mario Williams,DE,10,DL
Paul Carrington,DE,2,DL
Daniel Fells,TE,8,TE
T.J. Jackson,NT,2,DL
Nick Turnbull,DB,1,DB
Naufahu Tahi,FB,5,RB
Wendell Mathis,RB,1,RB
Tyler Everett,S,1,DB
Antwon Burton,DT,4,DL
Jason Carter,WR,2,WR
Brian Clark,WR,5,WR
Na'Shan Goddard,T,2,OL
Marcus Green,DT,3,DL
Darcy Johnson,TE,4,TE
Nick Mihlhauser,C,1,OL
De De Dorsey,RB,4,RB
John Busing,S,4,DB
Frank Davis,G,2,OL
Shaun Bodiford,WR,2,WR
R.J. Cobbs,DB,1,DB
Charles Gordon,CB,3,DB
James Sims,RB,1,RB
Chris Taylor,RB,2,RB
John Walker,CB,1,DB
Chris Barclay,RB,2,RB
Brett Basanez,QB,2,QB
Rob Smith,C,1,OL
Taye Biddle,WR,2,WR
Sean Conover,DE,2,DL
Dion Byrum,CB,1,DB
Cooper Wallace,TE,1,TE
P.J. Pope,RB,2,RB
Travis Leffew,G,2,OL
Montez Murphy,DE,1,DL
Chris Francies,WR,2,WR
Jason Hunter,DE,7,DL
Oliver Hoyte,FB,2,RB
Jayme Mitchell,DE,5,DL
Donald Penn,T,15,OL
John Madsen,TE,3,TE
Lance Laury,ILB,5,LB
Zac Alcorn,TE,1,TE
Jarrett Bush,CB,8,DB
Miles Austin,WR,9,WR
Daniel Federkeil,T,4,OL
John DiGiorgio,MLB,3,LB
Will Buchanon,WR,1,WR
A.J. Schable,DE,1,DL
Sam Hurd,WR,6,WR
Stephen Bowen,DE,10,DL
Darrell Hunter,DB,1,DB
Derek Miller,TE,1,TE
Boone Stutz,LS,2,SP
Micheal Spurlock,KR,7,SP
Martin Nance,WR,1,WR
Steve Gregory,CB,8,DB
Brandon McKinney,DT,6,DL
Quincy Butler,DB,4,DB
Mike Bell,RB,5,RB
Hank Baskett,WR,5,WR
Pierre Woods,OLB,5,LB
Corey Mays,LB,5,LB
Devale Ellis,WR,1,WR
Jereme Perry,DB,2,DB
Quinton Porter,QB,1,QB
Cletis Gordon,CB,4,DB
John Eubanks,CB,2,DB
Mike Espy,WR,1,WR
Anthony Madison,CB,6,DB
Richard Collier,T,2,OL
Jamaal Fudge,SS,4,DB
Brian Iwuh,MLB,6,LB
Tony McDaniel,DT,11,DL
Montell Owens,FB,8,RB
Charles Sharon,WR,2,WR
Steve Weatherford,P,9,SP
William Kershaw,LB,4,LB
Ed Blanton,T,1,OL
Jamie Thompson,S,1,DB
Joe Sykes,DE,1,DL
Stacy Tutt,RB,2,RB
Chris Hannon,WR,2,WR
Tim Sandidge,DT,1,DL
Cory Ross,RB,2,RB
Nick Cole,C,5,OL
Torrance Daniels,LB,4,LB
Patrick McCoy,T,2,OL
Ronnie Prude,CB,2,DB
Wallace Wright,WR,4,WR
Patrick Cobbs,RB,5,RB
Glenn Holt,WR,3,WR
Kevin Dockery,CB,5,DB
Marcus Vick,WR,1,WR
Brandon Jamison,OLB,2,LB
Gerard Ross,CB,1,DB
Steve Williams,DT,3,DL
Rudy Niswanger,C,5,OL
Derrick Ross,RB,1,RB
Willie Colon,T,9,OL
Hiram Eugene,FS,5,DB
Jamaal Branch,RB,2,RB
Reggie Bush,RB,10,RB
Vince Young,QB,6,QB
D'Brickashaw Ferguson,T,9,OL
A.J. Hawk,OLB,10,LB
Vernon Davis,TE,13,TE
Michael Huff,SS,8,DB
Donte Whitner,SS,10,DB
Ernie Sims,OLB,8,LB
Matt Leinart,QB,7,QB
Jay Cutler,QB,11,QB
Haloti Ngata,DT,12,DL
Kamerion Wimbley,OLB,8,LB
Brodrick Bunkley,DT,8,DL
Tye Hill,CB,5,DB
Jason Allen,FS,7,DB
Bobby Carpenter,ILB,7,LB
Antonio Cromartie,CB,10,DB
Tamba Hali,DE,11,DL
Laurence Maroney,RB,5,RB
Manny Lawson,OLB,10,LB
Davin Joseph,G,7,OL
Johnathan Joseph,CB,14,DB
Santonio Holmes,WR,8,WR
John McCargo,DT,6,DL
DeAngelo Williams,RB,10,RB
Marcedes Lewis,TE,18,TE
Nick Mangold,C,10,OL
Joseph Addai,RB,6,RB
Kelly Jennings,CB,6,DB
Mathias Kiwanuka,OLB,8,LB
DeMeco Ryans,MLB,10,LB
D'Qwell Jackson,ILB,10,LB
Rocky McIntosh,LB,8,LB
Chad Jackson,WR,3,WR
Thomas Howard,LB,8,LB
Winston Justice,T,8,OL
Daniel Bullocks,FS,2,DB
Deuce Lutui,G,7,OL
Danieal Manning,FS,8,DB
Roman Harper,SS,10,DB
Sinorice Moss,WR,4,WR
LenDale White,RB,4,RB
Joe Klopfenstein,TE,4,TE
Daryn Colledge,T,8,OL
Cedric Griffin,CB,7,DB
Kellen Clemens,QB,11,QB
Marcus McNeill,T,6,OL
Ryan Cook,T,7,OL
Greg Jennings,WR,9,WR
Anthony Fasano,TE,11,TE
Bernard Pollard,SS,8,DB
Andrew Whitworth,T,16,OL
Chris Chester,G,10,OL
Devin Hester,KR,10,SP
Richard Marshall,CB,8,DB
Jeremy Trueblood,T,8,OL
Maurice Jones-Drew,RB,8,RB
Tony Scheffler,TE,8,TE
Tim Jennings,CB,9,DB
Darryl Tapp,DE,11,DL
Tarvaris Jackson,QB,10,QB
Charles Spencer,T,2,OL
Eric Winston,T,11,OL
Abdul Hodge,MLB,4,LB
Claude Wroten,DT,2,DL
Paul McQuistan,G,8,OL
Ashton Youboty,CB,6,DB
Leonard Pope,TE,7,TE
Brian Calhoun,RB,2,RB
Jason Spitz,G,7,OL
Anthony Schlegel,MLB,2,LB
Jon Alston,OLB,4,LB
Travis Wilson,WR,3,WR
Jerious Norwood,RB,6,RB
Clint Ingram,OLB,4,LB
Charlie Whitehurst,QB,10,QB
Derek Hagan,WR,7,WR
Anthony Smith,FS,6,DB
Brodie Croyle,QB,5,QB
David Thomas,TE,7,TE
David Pittman,CB,3,DB
James Anderson,OLB,10,LB
Rashad Butler,T,7,OL
Maurice Stovall,WR,7,WR
Frostee Rucker,DE,12,DL
Jason Hatcher,DE,10,DL
Dominique Byrd,TE,4,TE
Freddy Keiaho,OLB,4,LB
Willie Reid,WR,2,WR
Gerris Wilkinson,OLB,5,LB
Eric Smith,SS,13,DB
Owen Daniels,TE,10,TE
Max Jean-Gilles,G,5,OL
Michael Robinson,RB,8,RB
Calvin Lowry,FS,3,DB
Brad Smith,WR,8,WR
Ko Simpson,FS,4,DB
Garrett Mills,TE,5,TE
Gabe Watson,NT,5,DL
Jahri Evans,G,11,OL
Jason Avant,WR,10,WR
Leon Williams,ILB,6,LB
Demetrius Williams,WR,5,WR
Isaac Sowells,G,3,OL
Victor Adeyanju,DE,5,DL
Will Blackmon,CB,10,DB
Stephen Tulloch,MLB,10,LB
Leon Washington,RB,8,RB
Stephen Gostkowski,K,14,SP
Brandon Marshall,WR,13,WR
Jamar Williams,MLB,5,LB
Nate Salley,DB,3,DB
Alan Zemaitis,CB,1,DB
Domata Peko,DT,10,DL
Barry Cofield,NT,10,DL
Skyler Green,WR,3,WR
Elvis Dumervil,DE,10,DL
Ray Edwards,DE,7,DL
Rob Sims,G,8,OL
Guy Whimper,T,7,OL
P.J. Daniels,RB,1,RB
Orien Harris,DE,4,DL
Kyle Williams,DT,12,DL
Rob Ninkovich,DE,10,DL
Ryan O'Callaghan,T,4,OL
Terna Nande,LB,1,LB
Pat Watkins,FS,5,DB
Quinn Ojinnaka,T,7,OL
Parys Haralson,OLB,7,LB
Jonathan Scott,T,8,OL
Brandon Johnson,OLB,10,LB
Brad Butler,T,4,OL
Jerome Harrison,RB,6,RB
Dawan Landry,SS,8,DB
Ingle Martin,QB,2,QB
Greg Blue,SS,2,DB
Tim Dobbins,ILB,8,LB
Anthony Montgomery,DT,4,DL
Marcus Maxey,CB,1,DB
Jeff King,TE,7,TE
Julian Jenkins,DE,1,DL
A.J. Nicholson,MLB,1,LB
Charlie Peprah,SS,7,DB
Mark Anderson,DE,7,DL
Brent Hawkins,DE,2,DL
Chris Kuper,G,8,OL
David Kirtman,FB,3,RB
Tony Moll,G,6,OL
Quinn Sypniewski,TE,2,TE
Omar Gaither,MLB,8,LB
Jesse Mahelona,DT,2,DL
Wali Lundy,RB,1,RB
Jonathan Orr,WR,1,WR
Reed Doughty,FS,8,DB
Delanie Walker,TE,14,TE
Kevin Boothe,G,8,OL
Jonathan Lewis,DT,1,DL
Keith Ellison,OLB,5,LB
Dee McCann,CB,1,DB
Lawrence Vickers,FB,7,RB
Babatunde Oshinowo,DT,2,DL
Montavious Stanley,DT,4,DL
Johnny Jolly,DT,5,DL
Adam Jennings,WR,4,WR
Tyrone Culver,SS,6,DB
Tre' Stallings,G,2,OL
Drew Coleman,CB,6,DB
Jeff Webb,WR,3,WR
Jeremy Mincey,LB,9,LB
Marcus Hudson,FS,5,DB
Reggie McNeal,WR,1,WR
Bruce Gradkowski,QB,9,QB
J.D. Runnels,FB,1,RB
Kedric Golston,DT,10,DL
Melvin Oliver,DE,1,DL
Charlie Johnson,T,8,OL
Marvin Philip,C,2,OL
Sam Koch,P,16,SP
LaJuan Ramsey,DT,4,DL
Dan Stevenson,G,1,OL
Le Kevin Smith,NT,5,DL
Antoine Bethea,SS,14,DB
Derrick Martin,CB,8,DB
Ethan Kilmer,FS,2,DB
Zach Strief,T,11,OL
Pat McQuistan,T,8,OL
Fred Evans,NT,8,DL
James Wyche,DE,2,DL
Chris Morris,C,5,OL
Cortland Finnegan,CB,10,DB
Terrance Pennington,T,2,OL
Fred Matua,G,1,OL
Todd Watkins,WR,3,WR
Ryan LaCasse,DE,1,DL
Titus Adams,DE,2,DL
Justin Hamilton,FS,9,DB
D.J. Shockley,QB,2,QB
Chase Page,DT,2,DL
Jarrad Page,FS,6,DB
Willie Andrews,FS,2,DB
Will Montgomery,G,10,OL
Dee Webb,CB,1,DB
Stanley McClover,DE,3,DL
T.J. Rushing,DB,3,DB
Ryan Plackemeier,P,3,SP
Charles Bennett,DE,1,DL
Mark Setterstrom,G,3,OL
Tony Palmer,G,2,OL
Tim Massaquoi,TE,2,TE
Spencer Toone,LB,1,LB
Quinton Ganther,RB,5,RB
Anthony Cannon,OLB,3,LB
Aaron Merz,C,1,OL
Ben Obomanu,WR,7,WR
David Anderson,WR,6,WR
Marques Colston,WR,10,WR
Khreem Smith,DE,2,DL
D'Anthony Batiste,G,7,OL
Ahmard Hall,FB,6,RB
Jovon Johnson,DB,1,DB
Anthony Sherrell,RB,1,RB
Stylez G White,DE,4,DL
Kenton Keith,RB,1,RB
Ronnie Ghent,TE,1,TE
Justin Jenkins,WR,3,WR
Brandon Middleton,WR,2,WR
Bobby Sippio,WR,1,WR
Mike Barr,P,1,SP
Matt Sinclair,LB,1,LB
Ryan Grant,RB,12,RB
Aaron Halterman,TE,1,TE
Antoine Harris,SS,3,DB
Brock Berlin,QB,2,QB
Orrin Thompson,T,1,OL
Kyle Eckel,FB,3,RB
Lorenzo Alexander,DT,13,DL
Raymond Ventrone,S,7,DB
Gary Gibson,DT,7,DL
Kevin Harrison,LB,1,LB
Rhys Lloyd,K,4,SP
Alex Haynes,RB,2,RB
Michael Gasperson,WR,1,WR
Chris Reis,DB,4,DB
Travis Williams,LB,1,LB
Andre Hall,RB,2,RB
Greg Estandia,TE,3,TE
Jamie Petrowski,TE,2,TE
Colin Allred,LB,4,LB
Copeland Bryan,DE,3,DL
LaMarcus Hicks,DB,2,DB
Jon Dekker,TE,1,TE
Mike Brisiel,G,7,OL
Jeff Charleston,DE,6,DL
Matt Prater,K,17,SP
Mark LeVoir,T,5,OL
Kevin Hobbs,CB,3,DB
Steve Fifita,NT,1,DL
Dennis Roland,T,7,OL
Anthony Mix,WR,1,WR
Darrell Hackney,QB,2,QB
Nate Livings,G,6,OL
Eric Bassey,CB,2,DB
Ryan Neill,DE,4,DL
Tanard Davis,DB,1,DB
Tramon Williams,CB,13,DB
Lee Vickers,DE,1,DL
Troy Bienemann,TE,1,TE
Remi Ayodele,DT,5,DL
Isaac Smolko,TE,1,TE
McKinley Boykin,DT,1,DL
Grant Mason,DB,1,DB
Blake Costanzo,LB,7,LB
Drew Olson,QB,1,QB
Joe Kowalewski,TE,1,TE
Brent Grimes,DB,11,DB
Fred Jackson,RB,9,RB
Chad Greenway,OLB,9,LB
Chris Gocong,OLB,5,LB
Dusty Dvoracek,NT,2,DL
Domenik Hixon,WR,6,WR
Marques Hagans,WR,2,WR
Jason Pociask,TE,1,TE
Michael Toudouze,T,5,OL
Mike Hass,WR,2,WR
Jeromey Clary,T,7,OL
Greg Eslinger,C,1,OL
Tim McGarigle,MLB,1,LB
Rodrique Wright,DT,2,DL
Devin Aromashodu,WR,6,WR
Dave Tollefson,DE,6,DL
Saverio Rocca,P,7,SP
Chris Wilson,DE,5,DL
Zarnell Fitch,DT,1,DL
Renardo Foster,T,2,OL
Eric Weems,WR,10,WR
Kurt Quarterman,G,1,OL
Chris McFoy,WR,1,WR
Steven Harris,DT,1,DL
Roderick Rogers,DB,2,DB
Selvin Young,RB,2,RB
Biren Ealy,WR,2,WR
Danny Ware,RB,6,RB
Sam Hollenbach,QB,1,QB
Marcus Mason,RB,3,RB
Quinton Culberson,MLB,3,LB
Christian Gaddis,C,2,OL
Stephon Heyer,T,5,OL
Logan Payne,WR,3,WR
C.J. Wallace,FS,4,DB
Rudy Sylvan,TE,1,TE
Daniel Coats,TE,4,TE
Byron Storer,RB,2,RB
Courtney Bryan,SS,2,DB
Edmond Miles,OLB,2,LB
Geoffrey Pope,DB,3,DB
Kerry Reed,WR,1,WR
Julius Wilson,T,1,OL
Tuff Harris,DB,2,DB
Deljuan Robinson,DE,3,DL
Mickey Pimentel,LB,1,LB
Quinton Teal,FS,4,DB
Conrad Bolston,DT,1,DL
Brian Daniels,G,1,OL
David Herron,ILB,4,LB
Chase Johnson,T,1,OL
Michael Matthews,TE,3,TE
Larry Birdine,DE,1,DL
Daniel Muir,DT,7,DL
Melvin Bullitt,FS,5,DB
Clifton Dawson,RB,2,RB
Ramon Guzman,OLB,1,LB
Victor Worsley,LB,1,LB
Marcus Freeman,TE,1,TE
Willie Gaston,DB,1,DB
Edgar Jones,DE,7,DL
David Ball,WR,1,WR
Louis Leonard,DT,4,DL
Nick Roach,LB,7,LB
Jyles Tucker,LB,4,LB
Matt Willis,WR,5,WR
Charles Ali,FB,3,RB
Brandon Archer,LB,1,LB
Ed Johnson,DT,4,DL
Fontel Mines,TE,1,TE
Cody Boyd,TE,1,TE
Jason Capizzi,T,2,OL
Derrick Jones,DE,4,DL
Darnell Stapleton,C,2,OL
Darius Vinnett,DB,1,DB
Craig Dahl,SS,8,DB
Scott Mayle,WR,1,WR
Corey Mace,DE,3,DL
Tyler Palko,QB,4,QB
Pierre Thomas,RB,9,RB
Tyron Brackenridge,CB,4,DB
Matt Gutierrez,QB,3,QB
Jake Nordin,TE,2,TE
Gary Russell,RB,3,RB
Darius Walker,RB,2,RB
Gilbert Harris,RB,1,RB
JaMarcus Russell,QB,3,QB
Calvin Johnson,WR,8,WR
Joe Thomas,T,15,OL
Gaines Adams,DE,3,DL
Levi Brown,T,6,OL
LaRon Landry,SS,7,DB
Jamaal Anderson,DE,6,DL
Ted Ginn,WR,13,WR
Amobi Okoye,DT,6,DL
Patrick Willis,ILB,7,LB
Marshawn Lynch,RB,12,RB
Adam Carriker,NT,5,DL
Darrelle Revis,CB,10,DB
Lawrence Timmons,OLB,10,LB
Justin Harrell,DT,3,DL
Jarvis Moss,DE,5,DL
Leon Hall,CB,11,DB
Michael Griffin,CB,10,DB
Aaron Ross,CB,7,DB
Brady Quinn,QB,7,QB
Dwayne Bowe,WR,9,WR
Brandon Meriweather,SS,9,DB
Jon Beason,OLB,8,LB
Anthony Spencer,OLB,7,LB
Robert Meachem,WR,7,WR
Joe Staley,T,12,OL
Ben Grubbs,G,9,OL
Craig Davis,WR,4,WR
Greg Olsen,TE,13,TE
Anthony Gonzalez,WR,5,WR
Alan Branch,NT,10,DL
Paul Posluszny,MLB,10,LB
Arron Sears,G,2,OL
Kevin Kolb,QB,6,QB
Eric Weddle,FS,13,DB
Zach Miller,TE,11,TE
Justin Blalock,G,7,OL
John Beck,QB,6,QB
Chris Houston,CB,7,DB
Tony Ugoh,T,5,OL
Sidney Rice,WR,7,WR
Dwayne Jarrett,WR,4,WR
LaMarr Woodley,OLB,9,LB
David Harris,ILB,10,LB
Justin Durant,OLB,10,LB
Brian Leonard,RB,7,RB
Eric Wright,CB,7,DB
Turk McBride,DE,6,DL
Josh Wilson,CB,9,DB
Tim Crowder,DE,5,DL
Victor Abiamiri,DE,3,DL
Ikaika Alama-Francis,DE,5,DL
Ryan Kalil,G,13,OL
Samson Satele,G,7,OL
Gerald Alexander,FS,5,DB
Brandon Jackson,RB,5,RB
Sabby Piscitelli,SS,5,DB
Quentin Moses,DE,4,DL
Usama Young,CB,7,DB
James Marten,T,3,OL
Quincy Black,OLB,6,LB
Buster Davis,LB,2,LB
Ryan Harris,T,9,OL
Lorenzo Booker,RB,4,RB
Marcus McCauley,CB,3,DB
Jacoby Jones,WR,8,WR
Yamon Figurs,WR,4,WR
Laurent Robinson,WR,6,WR
Jason Hill,WR,6,WR
Matt Spaeth,TE,8,TE
Paul Williams,WR,2,WR
Jay Alford,DT,3,DL
Tank Tyler,DT,3,DL
Jonathan Wade,CB,5,DB
Brandon Mebane,DT,13,DL
Marshal Yanda,T,12,OL
Stewart Bradley,OLB,5,LB
Andy Alleman,G,3,OL
Aaron Rouse,FS,3,DB
Tony Hunt,RB,2,RB
Mario Henderson,T,4,OL
Trent Edwards,QB,5,QB
Garrett Wolfe,RB,4,RB
Dante Hughes,CB,5,DB
Anthony Waters,ILB,4,LB
Ray McDonald,DE,7,DL
Quinn Pitcock,DT,1,DL
Johnnie Lee Higgins,WR,4,WR
Adam Podlesh,P,7,SP
Brian Robison,DE,11,DL
Isaiah Stanback,WR,4,WR
Tanard Jackson,FS,6,DB
Antonio Pittman,RB,2,RB
Paul Soliai,NT,9,DL
Stephen Nicholas,OLB,7,LB
John Bowie,CB,2,DB
Dwayne Wright,RB,1,RB
Daniel Sepulveda,P,4,SP
Marvin White,FS,4,DB
Leroy Harris,G,7,OL
Zak DeOssie,OLB,12,LB
Manuel Ramirez,G,8,OL
Ryne Robinson,WR,2,WR
Allen Barbre,G,9,OL
Baraka Atkins,DE,3,DL
Marcus Thomas,DT,5,DL
Doug Free,T,9,OL
Fred Bennett,CB,4,DB
Mansfield Wrotto,G,5,OL
Jermon Bushrod,T,11,OL
Dashon Goldson,DB,9,DB
Kareem Brown,DE,2,DL
Scott Chandler,TE,8,TE
Josh Beekman,G,4,OL
Brannon Condren,FS,2,DB
Ryan McBean,DE,4,DL
Martrez Milner,TE,2,TE
Antwan Barnes,OLB,7,LB
Clint Session,OLB,5,LB
Le'Ron McClain,FB,7,RB
Jay Richardson,DE,5,DL
Dustin Fry,C,1,OL
Brandon McDonald,CB,6,DB
Greg Peterson,DT,3,DL
Steve Breaston,WR,6,WR
David Jones,CB,8,DB
Aundrae Allison,WR,2,WR
Tarell Brown,CB,9,DB
Kolby Smith,RB,3,RB
Uche Nwaneri,G,7,OL
Josh Gattis,DB,1,DB
Jeff Rowe,QB,2,QB
Kevin Boss,TE,6,TE
Clifton Ryan,NT,4,DL
Dante Rosario,TE,7,TE
David Clowney,WR,4,WR
Johnny Baldwin,OLB,1,LB
Justin Medlock,K,2,SP
Will Herring,OLB,7,LB
Brent Celek,TE,10,TE
Brandon Frye,T,3,OL
Tim Shaw,MLB,7,LB
Eric Frampton,SS,7,DB
Derek Landri,DT,7,DL
Kevin Payne,SS,3,DB
Corey Graham,CB,11,DB
Roy Hall,WR,2,WR
William Gay,CB,11,DB
Clint Oldenburg,T,1,OL
Legedu Naanee,TE,6,TE
Michael Coe,CB,5,DB
Troy Smith,QB,4,QB
Oren O'Neal,FB,2,RB
Jacob Bender,G,2,OL
Nick Folk,K,16,SP
H.B. Blades,MLB,4,LB
Justin Rogers,OLB,8,LB
Reagan Maui'a,FB,5,RB
Adam Hayward,OLB,7,LB
Kasey Studdard,G,4,OL
John Wendling,SS,7,DB
Trey Lewis,DT,3,DL
Matt Toeaina,DT,6,DL
Adam Koets,T,4,OL
Korey Hall,FB,5,RB
Desmond Bishop,MLB,7,LB
Mason Crosby,K,16,SP
David Irons,CB,2,DB
Deon Anderson,FB,4,RB
Herb Taylor,G,5,OL
Courtney Taylor,WR,2,WR
Melila Purcell,DE,1,DL
Rashad Barksdale,CB,2,DB
Daren Stone,SS,2,DB
Prescott Burgess,OLB,4,LB
Corey Hilliard,T,7,OL
Ben Patrick,TE,4,TE
Tyler Thigpen,QB,6,QB
Zach Diles,MLB,7,LB
Kelvin Smith,LB,2,LB
Marvin Mitchell,LB,7,LB
Trumaine McBride,CB,8,DB
Derek Schouman,TE,4,TE
Mike Otto,T,7,OL
Michael Johnson,FS,11,DB
Brandon Fields,P,8,SP
C.J. Wilson,DB,10,DB
DeShawn Wynn,RB,4,RB
John Broussard,WR,1,WR
Dan Santucci,C,1,OL
Michael Allan,TE,1,TE
Chansi Stuckey,WR,5,WR
Alan Ball,DB,9,DB
Abraham Wright,OLB,1,LB
Brandon Siler,ILB,5,LB
Keyunta Dawson,DE,7,DL
Jason Snelling,RB,7,RB
Kenneth Darby,RB,4,RB
Derek Stanley,WR,3,WR
Ahmad Bradshaw,RB,9,RB
Chad Nkang,SS,2,DB
Chinedum Ndukwe,SS,5,DB
Ramzee Robinson,DB,3,DB
Pago Togafau,MLB,3,LB
Michael Adams,DB,7,DB
Tim Castille,FB,4,RB
David Holloway,LB,1,LB
Lyle Sendlein,C,9,OL
Mike Devito,NT,8,DL
Jason Trusnik,LB,9,LB
Jackie Battle,RB,7,RB
Matt Moore,QB,12,QB
Nick Graham,CB,2,DB
Akeem Jordan,LB,7,LB
Marques Murrell,DE,4,DL
Marcus Paschal,DB,2,DB
Jonathan Palmer,T,1,OL
Sam Paulescu,P,4,SP
Alex Buzbee,DE,1,DL
Nate Harris,MLB,1,LB
Cullen Finnerty,QB,1,QB
Robert Turner,G,7,OL
Jeremy Kapinos,P,5,SP
Jared Gaither,T,6,OL
Paul Oliver,CB,5,DB
Mark Washington,LB,1,LB
Glenn Pakulak,P,2,SP
Stefan Rodgers,T,1,OL
Thomas Gafford,LS,8,SP
Buck Ortega,TE,2,TE
Spencer Havner,LB,3,LB
Pat Ross,C,1,OL
Tavares Washington,T,1,OL
Steve Sanders,WR,1,WR
Kevis Coley,LB,1,LB
Eric Henderson,DE,1,DL
Anwar Phillips,DB,1,DB
Scott Paxson,DT,2,DL
Tearrius George,LB,1,LB
Darnell Bing,LB,2,LB
Gijon Robinson,TE,3,TE
Mkristo Bruce,DE,1,DL
Billy Latsko,RB,2,RB
Kyle Cook,C,6,OL
Brandon London,WR,1,WR
Dominique Zeigler,WR,2,WR
Pat Murray,G,1,OL
Antwan Applewhite,LB,5,LB
Tra Battle,DB,1,DB
Keith Grennan,DE,1,DL
Joe Porter,DB,2,DB
Maurice Price,WR,1,WR
Jared Retkofsky,LS,2,SP
Drew Stanton,QB,12,QB
Mike Sims-Walker,WR,4,WR
Michael Bush,RB,6,RB
Brandon Harrison,FS,1,DB
Antonio Johnson,DT,8,DL
Cameron Stephenson,G,1,OL
Rufus Alexander,LB,1,LB
Thomas Clayton,RB,3,RB
Mike Richardson,DB,3,DB
Jacob Ford,DE,3,DL
Jordan Palmer,QB,5,QB
Jordan Kent,WR,2,WR
Dallas Baker,WR,1,WR
Steve Vallos,C,6,OL
Syndric Steptoe,WR,1,WR
Clark Harris,TE,14,TE
Marcus Hamilton,DB,2,DB
Andrew Carnahan,T,1,OL
Jonathan Holland,WR,2,WR
Brett Goode,LS,9,SP
D'Juan Woods,WR,1,WR
Elliot Vallejo,T,1,OL
Brett Ratliff,QB,3,QB
Alonzo Coleman,RB,1,RB
Rodney Hannah,TE,1,TE
Mike Jefferson,WR,1,WR
Jeremy Clark,DT,6,DL
Richard Bartel,QB,4,QB
James Ihedigbo,DB,8,DB
Jon Corto,OLB,3,LB
Chris Patrick,T,2,OL
Nevin McCaskill,T,1,OL
Jake Long,T,8,OL
Gary Guyton,ILB,5,LB
Garrett Hartley,K,6,SP
Brett Kern,P,14,SP
Tyler Polumbus,T,8,OL
Wesley Woodyard,OLB,12,LB
Patrick Bailey,LB,6,LB
Donovan Woods,OLB,2,LB
Jo-Lonn Dunbar,LB,7,LB
Louis Rankin,RB,2,RB
Darrell Strong,TE,1,TE
Roy Lewis,DB,4,DB
BenJarvus Green-Ellis,RB,6,RB
Vince Redd,LB,1,LB
Jonathan Stupar,TE,3,TE
Darrick Brown,DB,1,DB
Marcus Buggs,LB,2,LB
Jamar Adams,DB,3,DB
Michael Bumpus,WR,1,WR
Elbert Mack,CB,6,DB
Devin Clark,G,1,OL
Curtis Gatewood,LB,3,LB
Matterral Richardson,DB,1,DB
